muni6,total_cases,active_months,active_years,peak_year_cases,outbreak_years,active_month_frac,active_year_frac,peak_year_share,episodes,recurrence_index,persistence_index,concentration_index,pattern_class
130360,3,2,2,2,0,0.016666666666666666,0.2,0.6666666666666666,2,0.2,0.016666666666666666,0.6666666666666666,sporadic
130370,16,5,2,14,1,0.041666666666666664,0.2,0.875,3,0.2,0.041666666666666664,0.875,sporadic
130380,17,13,6,7,2,0.10833333333333334,0.6,0.4117647058823529,10,0.6,0.10833333333333334,0.4117647058823529,recurrent
130390,2,2,2,1,0,0.016666666666666666,0.2,0.5,2,0.2,0.016666666666666666,0.5,sporadic
130400,1,1,1,1,0,0.008333333333333333,0.1,1,1,0.1,0.008333333333333333,1,sporadic
130406,31,15,7,11,4,0.125,0.7,0.3548387096774194,11,0.7,0.125,0.3548387096774194,recurrent
130410,35,12,7,23,2,0.1,0.7,0.6571428571428571,7,0.7,0.1,0.6571428571428571,intermediate
130420,75,18,8,50,2,0.15,0.8,0.6666666666666666,10,0.8,0.15,0.6666666666666666,intermediate
130426,1,1,1,1,0,0.008333333333333333,0.1,1,1,0.1,0.008333333333333333,1,sporadic
130430,3,3,1,3,1,0.025,0.1,1,2,0.1,0.025,1,sporadic
130440,2,2,2,1,0,0.016666666666666666,0.2,0.5,2,0.2,0.016666666666666666,0.5,sporadic
140002,65,30,10,29,4,0.25,1,0.4461538461538462,18,1,0.25,0.4461538461538462,recurrent
140005,326,53,10,191,2,0.44166666666666665,1,0.5858895705521472,22,1,0.44166666666666665,0.5858895705521472,recurrent
140010,6703,120,10,5000,1,1,1,0.7459346561241236,1,1,1,0.7459346561241236,intermediate
140015,233,44,8,99,3,0.36666666666666664,0.8,0.4248927038626609,12,0.8,0.36666666666666664,0.4248927038626609,recurrent
140017,403,66,10,164,3,0.55,1,0.40694789081885857,23,1,0.55,0.40694789081885857,recurrent
140020,229,57,9,97,4,0.475,0.9,0.42358078602620086,15,0.9,0.475,0.42358078602620086,recurrent
140023,61,31,8,14,6,0.25833333333333336,0.8,0.22950819672131148,15,0.8,0.25833333333333336,0.22950819672131148,recurrent
140028,112,39,10,54,4,0.325,1,0.48214285714285715,15,1,0.325,0.48214285714285715,recurrent
140030,897,91,10,507,2,0.7583333333333333,1,0.5652173913043478,17,1,0.7583333333333333,0.5652173913043478,recurrent
140040,37,21,8,11,5,0.175,0.8,0.2972972972972973,10,0.8,0.175,0.2972972972972973,recurrent
140045,52,26,9,16,5,0.21666666666666667,0.9,0.3076923076923077,17,0.9,0.21666666666666667,0.3076923076923077,recurrent
140047,1013,71,10,626,2,0.5916666666666667,1,0.6179664363277394,19,1,0.5916666666666667,0.6179664363277394,intermediate
140050,319,60,10,187,2,0.5,1,0.5862068965517241,15,1,0.5,0.5862068965517241,recurrent
140060,178,26,7,152,1,0.21666666666666667,0.7,0.8539325842696629,12,0.7,0.21666666666666667,0.8539325842696629,sporadic
140070,43,10,6,37,1,0.08333333333333333,0.6,0.8604651162790697,7,0.6,0.08333333333333333,0.8604651162790697,sporadic
150010,696,99,10,148,9,0.825,1,0.21264367816091953,11,1,0.825,0.21264367816091953,recurrent
