muni7,muni6,lon,lat
1701002,170100,-48.18665347413167,-6.232673598732979
1701051,170105,-47.91316038069596,-6.435786477822902
1701101,170110,-48.0000311748637,-9.986589429463585
1701309,170130,-48.63238739603629,-6.9454874648269875
1701903,170190,-49.50547119988021,-8.939048208301989
1702000,170200,-49.69644479765765,-12.839898330910637
1702109,170210,-48.58775176262594,-7.331412438652892
1702158,170215,-48.52456545746874,-6.790952994193537
1702208,170220,-48.10486579560907,-5.6658000052964095
1702307,170230,-48.99983209323357,-7.72342674382604
1702406,170240,-47.047643532613215,-12.81708325274474
1702554,170255,-47.928161292764784,-5.497813058943613
1702703,170270,-46.43288554177005,-12.646646133796134
1702901,170290,-47.76610851455773,-5.64939716010018
1703008,170300,-47.856807232474374,-7.174530383876615
1703057,170305,-48.67553525467825,-7.902945794592778
1703073,170307,-47.57860076413584,-7.717723593064433
1703107,170310,-48.79118613516292,-9.86576999526985
1703206,170320,-48.96912719018137,-7.983476617767725
1703305,170330,-47.87924500921752,-9.0124320660584
1703602,170360,-48.442782471571746,-8.289899787561641
1703701,170370,-48.62413723770542,-11.029212570798219
1703800,170380,-48.136315046819284,-5.337667582419902
1703826,170382,-47.84133089376971,-6.090010365041064
1703842,170384,-46.80451875338816,-8.203776806959157
1703867,170386,-49.20278146076137,-11.932992013824236
1703883,170388,-48.374539765504096,-7.045115533801599
1703891,170389,-48.00992652880211,-5.3371711285847745
1703909,170390,-49.84855969158337,-9.401608622127174
1704105,170410,-47.44474101664522,-9.073765035174508
1704600,170460,-49.195739058399376,-10.16570256246329
1705102,170510,-47.846376873225076,-11.54104605084912
1705508,170550,-48.53011198185739,-8.076413511492452
1705557,170555,-46.50375828226159,-12.84628006579927
1705607,170560,-47.303640250428536,-12.170969088912143
1706001,170600,-49.16242381030499,-8.43672394238354
1706100,170610,-49.31245175771069,-10.636401845765677
1706258,170625,-49.072749523956695,-11.171914656138323
1706506,170650,-47.767925793089816,-6.76341335505518
1707009,170700,-46.795631683723364,-11.694771941193725
1707108,170710,-49.3549058780342,-9.69510528030678
1707207,170720,-49.06699859587546,-9.270887706479897
1707306,170730,-49.39142329990762,-11.427193333023148
1707405,170740,-48.540314270250136,-5.326291705070993
1707553,170755,-48.87232895848099,-10.809752393764837
1707652,170765,-49.28267942105041,-12.263478566627981
1707702,170770,-47.793723246301795,-7.496674051461866
1708205,170820,-50.09775389720993,-11.958179332193811
1708254,170825,-48.54600344993269,-9.071427328067971
1708304,170830,-49.01124327414132,-8.873188334505063
1709005,170900,-47.48154827852508,-8.094116640687886
1709302,170930,-48.44164376632056,-8.738460206137923
1709500,170950,-48.88726078608646,-11.651561196831599
1709807,170980,-48.40354883079015,-11.135066175437915
1710508,171050,-47.66937869766737,-8.571536304071714
1710706,171070,-47.595069090385145,-5.802724553641806
1710904,171090,-48.03329970793605,-8.316223718491418
1711100,171110,-48.75260571559658,-8.451182087081772
1711506,171150,-48.64551162311637,-12.747590747363043
1711803,171180,-49.110332586035916,-8.140803220279803
1711902,171190,-50.160506843743995,-11.034907654890892
1711951,171195,-47.48115685262003,-10.3418481770966
1712009,171200,-48.290960703111836,-9.850550774411085
1712157,171215,-46.41051149499635,-12.81262122570877
1712405,171240,-46.93907955188042,-9.524637725945313
1712454,171245,-47.830745262510284,-6.206021722680398
1712504,171250,-49.700053788956915,-9.787575268770674
1712702,171270,-46.50252004120178,-10.58292201038286
1712801,171280,-47.589930846826746,-6.023174424054612
1713205,171320,-48.55145489782033,-9.754086854875712
1713304,171330,-48.68375500808964,-9.416312488090895
1713601,171360,-48.017209158061384,-10.747497434842117
1713700,171370,-49.06727127210013,-9.999490456393128
1713809,171380,-47.64269497383874,-6.600231538382375
1713957,171395,-48.78656792199973,-7.003326506075689
1714203,171420,-47.648770440126654,-11.798182873721473
1714302,171430,-47.781464521589264,-6.330343873515082
1714880,171488,-48.360755517495996,-7.637875482691387
1715002,171500,-48.97333537813006,-10.550002814383243
1715101,171510,-47.38310718104326,-10.155022941792135
1715150,171515,-46.559634271757275,-12.914260813546493
1715259,171525,-46.57028728829436,-11.779009970737388
1715507,171550,-48.875800330524356,-10.674486195525184
1715705,171570,-48.156237345378294,-7.88592112342307
1715754,171575,-48.34878240732093,-13.019755160251039
1716109,171610,-48.82727816373887,-10.218210174912132
1716208,171620,-47.81353667391196,-12.696202815352951
1716307,171630,-48.988373781960085,-7.544997650001835
1716505,171650,-48.03421155859412,-9.226920346259774
1716604,171660,-48.55519655300096,-11.996544552096218
1716653,171665,-48.917116119367044,-8.379733176555044
1716703,171670,-48.76561143803893,-8.836485952060302
1717008,171700,-47.558841410948645,-11.15970341796727
1717206,171720,-48.23945276383346,-6.738599633918079
1717503,171750,-49.87195652763713,-10.209520072424922
1717800,171780,-46.59312846647244,-12.05754865854372
1717909,171790,-47.32468559157413,-10.749513261876558
1718006,171800,-47.046696343545854,-11.51080376496133
1718204,171820,-48.49654969663965,-10.543545546012483
1718303,171830,-47.78192959508416,-5.4748362322586095
1718402,171840,-48.46159036649633,-8.461887236929595
