uf_code,uf_name,year,<1,1-4,5-9,10-11,12-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
28,3,2023,33352,135533,169837,68280,214072,72912,195136,205729,196879,194210,179942,157629,137967,120471,94684,71664,53211,35978,21674,17287
28,3,2024,33068,134559,169993,68034,211474,73424,189602,206898,196770,195418,183024,162000,139941,124066,98661,74281,55113,37620,22528,18010
29,3,2015,208238,834930,1121187,481429,1544701,532396,1275182,1243347,1275927,1155873,971943,889565,762335,641055,506826,404527,302165,217604,132889,126899
29,3,2016,205974,828161,1099919,469523,1513155,532503,1273827,1227105,1271149,1184217,997368,901458,782099,659618,524254,416048,311963,223924,137828,129591
29,3,2017,205826,821180,1082580,456576,1481037,527470,1274790,1215830,1257080,1209244,1029168,909164,803480,676851,543642,427066,322914,229639,143877,132454
29,3,2018,208814,819029,1062241,448834,1448111,517336,1275636,1208879,1236983,1229213,1064730,916062,824918,693448,564104,438339,334520,235317,150434,135669
29,3,2019,206811,822436,1042741,443652,1417972,502790,1272713,1204870,1215977,1241930,1099767,927407,843958,710570,584237,451038,346014,241769,156708,139498
29,3,2020,204695,821181,1032020,434329,1393213,487239,1263882,1202728,1197342,1246201,1131342,946298,859318,728869,603215,465783,357024,249417,162324,144004
29,3,2021,202383,820061,1023216,424247,1366382,479093,1246323,1202565,1182053,1241976,1159650,971615,871278,748272,621155,482319,367694,258051,167507,149230
29,3,2022,199870,816778,1016300,418236,1337752,473984,1220670,1204692,1171652,1228573,1184702,1003175,879186,769240,637856,500653,377966,267656,172284,155292
29,3,2023,197285,807997,1017337,411426,1309873,465298,1194961,1206699,1165519,1209201,1204778,1038410,886325,790265,653982,519974,388497,277810,177079,161884
29,3,2024,194695,798628,1018939,404086,1287116,453757,1169281,1204975,1162284,1188924,1217701,1073136,897797,808985,670618,539004,400318,287877,182485,168619
31,3,2015,270620,1051082,1340004,578140,1933597,694662,1725473,1732655,1707390,1601861,1419411,1368536,1278663,1108344,888373,674237,490258,360592,228844,196236
31,3,2016,263659,1060511,1320610,567861,1878878,692187,1722431,1727714,1714439,1629244,1443993,1372241,1295656,1138978,923260,703831,509092,370566,238172,206941
31,3,2017,262922,1060885,1313149,552347,1827081,681972,1721920,1721141,1718053,1651429,1477510,1372940,1309970,1167684,958439,734244,530767,379759,248400,218016
31,3,2018,268885,1061525,1308950,538281,1780066,664134,1720105,1713995,1718763,1668776,1516102,1374240,1321616,1194012,993264,765468,554787,389312,258928,229453
31,3,2019,267367,1064959,1311803,530153,1731830,645197,1710955,1707914,1717323,1682416,1553539,1381507,1330563,1217391,1026901,797571,580328,400847,268918,241309
31,3,2020,265577,1061782,1323244,522786,1694094,621968,1690978,1703642,1714315,1693068,1585762,1397853,1337134,1237552,1058733,830481,606872,415261,278023,253541
31,3,2021,263496,1063760,1325719,521326,1659981,599821,1662454,1701059,1709811,1700411,1613236,1422561,1341386,1254739,1088754,863892,634401,432193,286552,266371
31,3,2022,261048,1064385,1325363,525453,1628344,586448,1618963,1700986,1703672,1704338,1635564,1456039,1342689,1269319,1116951,897596,662714,451554,294552,280098
31,3,2023,258273,1056614,1331948,526568,1603308,576001,1570824,1699598,1696958,1705375,1653098,1494501,1344559,1281301,1142884,930982,691799,472926,302897,294276
31,3,2024,255311,1047581,1333858,528750,1586063,565819,1524205,1690891,1691292,1704266,1666955,1531814,1352259,1290649,1165980,963279,721708,495629,312839,308327
32,3,2015,57901,222515,270073,112783,360424,124660,310432,333453,331663,305797,262105,246774,227463,197089,156217,109421,77285,56855,37218,32698
32,3,2016,56487,226212,270713,110942,355509,125417,309896,331014,334893,313330,268943,248919,231366,202925,163760,116280,80686,58561,38716,34807
32,3,2017,56426,227876,272991,108882,350360,124984,311219,327012,337379,319736,277682,250602,234981,208404,170874,123842,84539,60254,40308,36990
32,3,2018,58063,228759,275454,108361,345254,123326,313403,322387,338923,325104,287503,252516,238275,213497,177583,131788,88943,62083,41941,39225
32,3,2019,57862,229887,279013,109154,339411,121947,314823,318559,339203,329697,297095,255705,241175,218188,183955,139690,93997,64256,43534,41499
32,3,2020,57610,229840,283719,109238,336206,119508,314454,316385,338107,333659,305612,260761,243706,222455,190034,147257,99741,66902,45057,43801
32,3,2021,57301,230952,285957,110081,333739,116912,313203,315794,335647,336877,313113,267573,245900,226363,195763,154494,106126,69984,46556,46173
32,3,2022,56926,231816,287509,111722,331427,116081,309235,317041,331631,339350,319496,276254,247637,229987,201152,161333,113157,73453,48051,48665
32,3,2023,56508,230672,289976,113025,330970,114889,304645,319140,326989,340885,324854,285995,249601,233288,206170,167797,120538,77407,49657,51221
32,3,2024,56088,229308,290854,115095,332125,113037,300279,320476,323136,341159,329434,295514,252803,236214,210791,173945,127884,81932,51537,53770
33,3,2015,230664,872760,1058561,443256,1481496,535301,1297370,1331286,1377926,1326285,1188789,1134841,1083645,969183,789600,605272,422792,311663,201795,178653
33,3,2016,223597,889949,1056661,433578,1435092,539606,1304841,1322842,1372268,1342770,1208399,1137618,1090589,988803,816243,630657,440705,318139,207752,187629
33,3,2017,222100,896312,1061337,425438,1390807,533327,1319028,1314648,1362126,1355012,1233795,1140211,1095403,1005831,843353,655038,462611,323750,214831,196507
33,3,2018,228350,899468,1068887,421528,1351671,516508,1333779,1308265,1349485,1362722,1261965,1144477,1098783,1020271,870011,678920,487116,330000,222387,205367
33,3,2019,226391,903565,1081738,420438,1320822,495045,1339549,1305781,1337321,1365965,1288175,1153110,1101674,1032271,894818,703252,512146,338980,229521,214381
33,3,2020,224282,899362,1101069,420371,1301641,471270,1330666,1308060,1327667,1364964,1309321,1167534,1104866,1042020,916943,728494,536424,351778,235872,223585
33,3,2021,221905,900100,1111252,422402,1287224,453820,1307080,1315413,1319445,1359675,1326041,1187361,1108256,1049595,936553,754258,560121,367920,241711,233217
33,3,2022,219274,899959,1116185,428320,1273658,448194,1266598,1329432,1311456,1349921,1338558,1212863,1111449,1055086,953710,780461,582972,387412,246943,243614
33,3,2023,216514,890945,1125646,433849,1266529,442979,1221358,1344007,1305254,1337673,1346575,1241089,1116260,1059166,968391,806249,605423,409086,252726,254354
33,3,2024,213763,881126,1127852,440926,1268529,433366,1181556,1349637,1302918,1325882,1350154,1267361,1125324,1062748,980728,830310,628314,431214,260667,264902
35,3,2015,624536,2419789,2965962,1222821,3910760,1362680,3422740,3779508,3871426,3584868,3188319,2969191,2720504,2377238,1908918,1441004,1000574,725535,461452,398479
35,3,2016,614686,2445984,2961456,1212815,3839095,1370625,3409406,3733167,3886229,3653533,3248192,2998883,2761663,2437302,1982583,1509111,1048644,746834,478993,421104
35,3,2017,604949,2454899,2976031,1190518,3776898,1362965,3421271,3670693,3885538,3719044,3319418,3026069,2800713,2491800,2057463,1576108,1105574,766399,499510,443743
35,3,2018,610238,2453779,2991677,1178235,3718935,1339278,3444987,3603105,3870857,3777409,3397581,3055073,2837660,2541542,2131564,1642778,1168609,787462,521489,466678
