uf,state_name,ensemble_id,foi_pwmean,foi_equiv
ES,Espirito Santo,73,0.013204345011114494,0.013200899008430283
RJ,Rio de Janeiro,73,0.011525013790748613,0.011521124278063902
SP,Sao Paulo,73,0.015809423289114513,0.01580509840104574
PR,Parana,73,0.015082154660168675,0.01508044083028138
SC,Santa Catarina,73,0.015492655376874364,0.0154907751974894
RS,Rio Grande do Sul,73,0.015089550245198449,0.015088126871797895
MS,Mato Grosso do Sul,73,0.009410424502355795,0.009405309994524567
MT,Mato Grosso,73,0.008177108818106715,0.008171930849659462
GO,Goias,73,0.009177373402489796,0.009173088972393786
DF,Distrito Federal,73,0.012601509741948876,0.012600570897903859
RO,Rondonia,74,0.008587025069975983,0.008585584192129361
AC,Acre,74,0.0076405842152503034,0.007637714134215652
AM,Amazonas,74,0.010369173596111753,0.010366550107242587
RR,Roraima,74,0.012163472412534694,0.012161097031528647
PA,Para,74,0.01040516768971794,0.010402256550603515
AP,Amapa,74,0.009416016452903082,0.009410666117613205
TO,Tocantins,74,0.00893123113290167,0.008929914478886617
MA,Maranhao,74,0.012384099715422854,0.012379985916066595
PI,Piaui,74,0.011806603727757383,0.011800911647460237
CE,Ceara,74,0.012891709393420337,0.012887581422701138
RN,Rio Grande do Norte,74,0.01161853471397378,0.011614792557449238
PB,Paraiba,74,0.011470904140447732,0.011466058425122327
PE,Pernambuco,74,0.010826641599059661,0.010821662524802626
AL,Alagoas,74,0.008819358350107666,0.00881525721794275
SE,Sergipe,74,0.011948582075448414,0.011944334586425878
BA,Bahia,74,0.010112389275414886,0.010106250013039787
MG,Minas Gerais,74,0.015058271620293471,0.015054652739064278
ES,Espirito Santo,74,0.013640124269315651,0.013637459991600612
RJ,Rio de Janeiro,74,0.01235743079709027,0.012352620500183209
SP,Sao Paulo,74,0.015588261028196083,0.01558654842903017
PR,Parana,74,0.015221759374715692,0.015220688261921599
SC,Santa Catarina,74,0.015847716071896542,0.015845222649207374
RS,Rio Grande do Sul,74,0.01584951779382227,0.01584832944330564
MS,Mato Grosso do Sul,74,0.01106320215690285,0.011056921286069043
MT,Mato Grosso,74,0.009921700087956956,0.009917610251265644
GO,Goias,74,0.010896932081265166,0.01089111706329384
DF,Distrito Federal,74,0.016542592108487988,0.016542133125892977
RO,Rondonia,75,0.009931583716689075,0.00992925300685796
AC,Acre,75,0.007339126088851663,0.007336745379684793
AM,Amazonas,75,0.012977939599481783,0.012970863268626088
RR,Roraima,75,0.015205372520275571,0.015200498927808576
PA,Para,75,0.012694618974207563,0.012686045004834615
AP,Amapa,75,0.01069437246625215,0.010682987858049017
TO,Tocantins,75,0.010231699686496004,0.010229664821115874
MA,Maranhao,75,0.014036366985142164,0.014028052520272914
PI,Piaui,75,0.013211452288952158,0.01320090897741699
CE,Ceara,75,0.012256252781168923,0.012245673032084277
RN,Rio Grande do Norte,75,0.011354743238104897,0.011348446497596499
PB,Paraiba,75,0.011160076564205687,0.011152469644158483
PE,Pernambuco,75,0.010542844038219054,0.010538482845654718
AL,Alagoas,75,0.008857109713805147,0.00885328099859036
SE,Sergipe,75,0.010266698308834147,0.010263637284747214
BA,Bahia,75,0.009825523297331325,0.009819038678387149
MG,Minas Gerais,75,0.015451960097481678,0.015448131272936167
ES,Espirito Santo,75,0.01390948996853871,0.013902877958749841
RJ,Rio de Janeiro,75,0.014375151142792586,0.01437060271071784
SP,Sao Paulo,75,0.01697711177229694,0.0169754034909846
PR,Parana,75,0.01505722378067279,0.015055157210342288
SC,Santa Catarina,75,0.015284382216750644,0.01528204996076772
RS,Rio Grande do Sul,75,0.014539489127645768,0.014536807062221333
MS,Mato Grosso do Sul,75,0.012157627090299085,0.012155137495566381
MT,Mato Grosso,75,0.011791386444090973,0.01178578320788797
GO,Goias,75,0.012536746732852185,0.01253234855180425
DF,Distrito Federal,75,0.015872492507071963,0.01587133249394172
RO,Rondonia,76,0.009121166914467179,0.009116472812775665
AC,Acre,76,0.00896586542171702,0.008962388268216213
AM,Amazonas,76,0.01038904986221944,0.010380538884811469
RR,Roraima,76,0.01584233798753809,0.01583606103123408
PA,Para,76,0.010010558440388291,0.010001573761799788
AP,Amapa,76,0.006655620263729479,0.006646270357307658
TO,Tocantins,76,0.011025198772295703,0.0110214319801077
MA,Maranhao,76,0.01474300735454803,0.014729427895460096
PI,Piaui,76,0.014994327149663013,0.014977949933895326
CE,Ceara,76,0.01536852187707362,0.01535193681751633
RN,Rio Grande do Norte,76,0.011181249271565061,0.011173707305154117
PB,Paraiba,76,0.010734225873953014,0.010725585978768843
PE,Pernambuco,76,0.009535768828541782,0.009531804952436478
AL,Alagoas,76,0.00886163465577335,0.008857542003256853
SE,Sergipe,76,0.012086604380726966,0.012081924671180511
BA,Bahia,76,0.00934536184764131,0.009338236479096103
MG,Minas Gerais,76,0.012303814504593237,0.0123006862766845
ES,Espirito Santo,76,0.01380679877952107,0.013802639051484043
RJ,Rio de Janeiro,76,0.012568046081867403,0.012565128819760128
SP,Sao Paulo,76,0.013805619432095077,0.013803269529095719
PR,Parana,76,0.011000485902235391,0.01099884625333863
SC,Santa Catarina,76,0.01128380885309386,0.011280861298798132
RS,Rio Grande do Sul,76,0.010884403293186967,0.01088249075833027
MS,Mato Grosso do Sul,76,0.011756343175390096,0.01174822881170108
MT,Mato Grosso,76,0.010559046442945781,0.010548514831870642
GO,Goias,76,0.009877407375092356,0.00987411633521224
DF,Distrito Federal,76,0.012401246308633733,0.01239974297080802
RO,Rondonia,77,0.011178920578739829,0.011174457532367529
AC,Acre,77,0.008197179559312137,0.008193390428809896
AM,Amazonas,77,0.014081760092704416,0.014077413624582136
RR,Roraima,77,0.014977586495970563,0.014973096457552274
PA,Para,77,0.014625254839043134,0.014617849514619969
AP,Amapa,77,0.01304872437389266,0.013039184572774747
TO,Tocantins,77,0.011821903904653286,0.01181724646130516
MA,Maranhao,77,0.014683602504028032,0.014674167436146902
PI,Piaui,77,0.01678404525944039,0.016773178307540763
CE,Ceara,77,0.016763414541416433,0.016750928562230833
RN,Rio Grande do Norte,77,0.014595757433248487,0.014586584911430323
PB,Paraiba,77,0.013529943868805827,0.013522857666867463
PE,Pernambuco,77,0.011828047914568573,0.011823859360800276
AL,Alagoas,77,0.009337328524496922,0.009334224777614426
SE,Sergipe,77,0.012246894176028783,0.012243488508863507
BA,Bahia,77,0.011080344347681344,0.011074246388479448
MG,Minas Gerais,77,0.012445342657911189,0.0124423146331323
ES,Espirito Santo,77,0.014168985396964555,0.014165621342724144
RJ,Rio de Janeiro,77,0.0121025253401728,0.012099374977859956
SP,Sao Paulo,77,0.014273242445616405,0.014270725779440642
