state,ensemble_id,foi_pwmean_grid,foi_equiv_grid,foi_pwmean_existing,foi_equiv_existing,pwmean_difference,equivalent_difference,pwmean_abs_difference,equivalent_abs_difference,max_temporal_weight_mean_deviation,aggregation_status
AC,14,0.006562788774481911,0.006557852899123718,0.0065627887744819,0.0065578528991237,1.1275702593849246e-17,1.734723475976807e-17,1.1275702593849246e-17,1.734723475976807e-17,8.881784197001252e-16,NA
AC,15,0.0060410610977130064,0.006038559601591318,0.00604106109771301,0.0060385596015913,-3.469446951953614e-18,1.8214596497756474e-17,3.469446951953614e-18,1.8214596497756474e-17,8.881784197001252e-16,NA
AC,16,0.0072619243414303635,0.007259688584429772,0.00726192434143035,0.00725968858442975,1.3877787807814457e-17,2.2551405187698492e-17,1.3877787807814457e-17,2.2551405187698492e-17,8.881784197001252e-16,NA
AC,17,0.008018222943963978,0.008016817360934824,0.00801822294396398,0.00801681736093482,-1.734723475976807e-18,5.204170427930421e-18,1.734723475976807e-18,5.204170427930421e-18,8.881784197001252e-16,NA
AC,18,0.009142449392088844,0.009134931681518826,0.00914244939208884,0.00913493168151881,5.204170427930421e-18,1.5612511283791264e-17,5.204170427930421e-18,1.5612511283791264e-17,8.881784197001252e-16,NA
AC,19,0.008020924552056727,0.008012781573847327,0.00802092455205674,0.00801278157384733,-1.214306433183765e-17,-3.469446951953614e-18,1.214306433183765e-17,3.469446951953614e-18,8.881784197001252e-16,NA
AC,20,0.004581991281245552,0.0045810859290806765,0.00458199128124554,0.00458108592908066,1.1275702593849246e-17,1.6479873021779667e-17,1.1275702593849246e-17,1.6479873021779667e-17,8.881784197001252e-16,NA
AC,21,0.008135888252857026,0.00813123185362973,0.00813588825285699,0.00813123185362973,3.642919299551295e-17,0,3.642919299551295e-17,0,8.881784197001252e-16,NA
AC,22,0.007424511323183827,0.007422680990999227,0.00742451132318384,0.00742268099099922,-1.3010426069826053e-17,6.938893903907228e-18,1.3010426069826053e-17,6.938893903907228e-18,8.881784197001252e-16,NA
AC,23,0.006388150899777435,0.0063870029861348415,0.00638815089977742,0.00638700298613485,1.5612511283791264e-17,-8.673617379884035e-18,1.5612511283791264e-17,8.673617379884035e-18,8.881784197001252e-16,NA
AC,24,0.00846311884269968,0.00845731072655139,0.00846311884269966,0.00845731072655141,1.9081958235744878e-17,-2.0816681711721685e-17,1.9081958235744878e-17,2.0816681711721685e-17,8.881784197001252e-16,NA
AC,25,0.006504367329434892,0.006503717620216928,0.00650436732943488,0.00650371762021693,1.214306433183765e-17,-1.734723475976807e-18,1.214306433183765e-17,1.734723475976807e-18,8.881784197001252e-16,NA
AC,26,0.005742335113119495,0.005739067400648783,0.00574233511311949,0.00573906740064878,5.204170427930421e-18,2.6020852139652106e-18,5.204170427930421e-18,2.6020852139652106e-18,8.881784197001252e-16,NA
AC,27,0.006983625293129576,0.006981358369990917,0.00698362529312957,0.0069813583699909,6.071532165918825e-18,1.734723475976807e-17,6.071532165918825e-18,1.734723475976807e-17,8.881784197001252e-16,NA
AC,28,0.006249853151229242,0.006245931625519834,0.00624985315122925,0.00624593162551983,-7.806255641895632e-18,4.336808689942018e-18,7.806255641895632e-18,4.336808689942018e-18,8.881784197001252e-16,NA
AC,29,0.005366603555331759,0.005364501196729563,0.00536660355533176,0.00536450119672957,-8.673617379884035e-19,-6.938893903907228e-18,8.673617379884035e-19,6.938893903907228e-18,8.881784197001252e-16,NA
AC,30,0.006662950677713044,0.006661072657738105,0.00666295067771303,0.00666107265773811,1.3877787807814457e-17,-5.204170427930421e-18,1.3877787807814457e-17,5.204170427930421e-18,8.881784197001252e-16,NA
AC,31,0.005688487557938213,0.005686630949125801,0.00568848755793821,0.00568663094912579,2.6020852139652106e-18,1.1275702593849246e-17,2.6020852139652106e-18,1.1275702593849246e-17,8.881784197001252e-16,NA
AC,32,0.007070499688551899,0.007067418931546414,0.00707049968855188,0.00706741893154638,1.9081958235744878e-17,3.382710778154774e-17,1.9081958235744878e-17,3.382710778154774e-17,8.881784197001252e-16,NA
